epoch,EG_L1_loss,G_tv_loss,G_img_loss,Ez_loss,D_loss,Dz_loss,D_img,D_z,D_z_prior,D_reconst
27,"tensor(0.0847, device='cuda:0')","tensor(0.0041, device='cuda:0')","tensor(12.7456, device='cuda:0')","tensor(0.9974, device='cuda:0')","tensor(0.0115, device='cuda:0')","tensor(1.3190, device='cuda:0')","tensor(0.9893, device='cuda:0')","tensor(0.3783, device='cuda:0')","tensor(0.4416, device='cuda:0')","tensor(0.0006, device='cuda:0')"
28,"tensor(0.0814, device='cuda:0')","tensor(0.0038, device='cuda:0')","tensor(9.9171, device='cuda:0')","tensor(0.7860, device='cuda:0')","tensor(0.0160, device='cuda:0')","tensor(1.3466, device='cuda:0')","tensor(0.9913, device='cuda:0')","tensor(0.4867, device='cuda:0')","tensor(0.5567, device='cuda:0')","tensor(0.0070, device='cuda:0')"
29,"tensor(0.0742, device='cuda:0')","tensor(0.0037, device='cuda:0')","tensor(11.5827, device='cuda:0')","tensor(0.8469, device='cuda:0')","tensor(0.0118, device='cuda:0')","tensor(1.1429, device='cuda:0')","tensor(0.9889, device='cuda:0')","tensor(0.4383, device='cuda:0')","tensor(0.5905, device='cuda:0')","tensor(0.0003, device='cuda:0')"
30,"tensor(0.0751, device='cuda:0')","tensor(0.0051, device='cuda:0')","tensor(15.4780, device='cuda:0')","tensor(0.9364, device='cuda:0')","tensor(0.0632, device='cuda:0')","tensor(1.1704, device='cuda:0')","tensor(0.9497, device='cuda:0')","tensor(0.4291, device='cuda:0')","tensor(0.5842, device='cuda:0')","tensor(0.0004, device='cuda:0')"
31,"tensor(0.0733, device='cuda:0')","tensor(0.0047, device='cuda:0')","tensor(8.9841, device='cuda:0')","tensor(0.8247, device='cuda:0')","tensor(0.0100, device='cuda:0')","tensor(1.3663, device='cuda:0')","tensor(0.9922, device='cuda:0')","tensor(0.4697, device='cuda:0')","tensor(0.5263, device='cuda:0')","tensor(0.0021, device='cuda:0')"
32,"tensor(0.0708, device='cuda:0')","tensor(0.0035, device='cuda:0')","tensor(8.4915, device='cuda:0')","tensor(1.1624, device='cuda:0')","tensor(0.1052, device='cuda:0')","tensor(1.0536, device='cuda:0')","tensor(0.9924, device='cuda:0')","tensor(0.3373, device='cuda:0')","tensor(0.5533, device='cuda:0')","tensor(0.0807, device='cuda:0')"
33,"tensor(0.0776, device='cuda:0')","tensor(0.0036, device='cuda:0')","tensor(5.8475, device='cuda:0')","tensor(0.6266, device='cuda:0')","tensor(0.0412, device='cuda:0')","tensor(1.4594, device='cuda:0')","tensor(0.9989, device='cuda:0')","tensor(0.5553, device='cuda:0')","tensor(0.5594, device='cuda:0')","tensor(0.0363, device='cuda:0')"
34,"tensor(0.0758, device='cuda:0')","tensor(0.0054, device='cuda:0')","tensor(10.6133, device='cuda:0')","tensor(0.7541, device='cuda:0')","tensor(0.0068, device='cuda:0')","tensor(1.3168, device='cuda:0')","tensor(0.9980, device='cuda:0')","tensor(0.4842, device='cuda:0')","tensor(0.5482, device='cuda:0')","tensor(0.0048, device='cuda:0')"
35,"tensor(0.0662, device='cuda:0')","tensor(0.0032, device='cuda:0')","tensor(12.7201, device='cuda:0')","tensor(0.8603, device='cuda:0')","tensor(0.0057, device='cuda:0')","tensor(1.1761, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.4352, device='cuda:0')","tensor(0.5632, device='cuda:0')","tensor(0.0025, device='cuda:0')"
36,"tensor(0.0755, device='cuda:0')","tensor(0.0041, device='cuda:0')","tensor(8.7255, device='cuda:0')","tensor(0.8059, device='cuda:0')","tensor(0.0162, device='cuda:0')","tensor(1.5553, device='cuda:0')","tensor(0.9938, device='cuda:0')","tensor(0.5024, device='cuda:0')","tensor(0.4812, device='cuda:0')","tensor(0.0097, device='cuda:0')"
37,"tensor(0.0708, device='cuda:0')","tensor(0.0051, device='cuda:0')","tensor(13.0888, device='cuda:0')","tensor(0.8988, device='cuda:0')","tensor(0.0141, device='cuda:0')","tensor(1.3948, device='cuda:0')","tensor(0.9865, device='cuda:0')","tensor(0.4443, device='cuda:0')","tensor(0.4876, device='cuda:0')","tensor(0.0001, device='cuda:0')"
38,"tensor(0.0685, device='cuda:0')","tensor(0.0030, device='cuda:0')","tensor(8.0038, device='cuda:0')","tensor(0.7537, device='cuda:0')","tensor(0.0354, device='cuda:0')","tensor(1.1133, device='cuda:0')","tensor(0.9980, device='cuda:0')","tensor(0.4931, device='cuda:0')","tensor(0.6830, device='cuda:0')","tensor(0.0302, device='cuda:0')"
39,"tensor(0.0725, device='cuda:0')","tensor(0.0040, device='cuda:0')","tensor(12.7217, device='cuda:0')","tensor(0.9517, device='cuda:0')","tensor(0.0438, device='cuda:0')","tensor(1.0115, device='cuda:0')","tensor(0.9594, device='cuda:0')","tensor(0.4189, device='cuda:0')","tensor(0.6533, device='cuda:0')","tensor(0.0003, device='cuda:0')"
40,"tensor(0.0671, device='cuda:0')","tensor(0.0041, device='cuda:0')","tensor(10.2458, device='cuda:0')","tensor(0.9798, device='cuda:0')","tensor(0.0092, device='cuda:0')","tensor(1.4202, device='cuda:0')","tensor(0.9969, device='cuda:0')","tensor(0.4323, device='cuda:0')","tensor(0.4618, device='cuda:0')","tensor(0.0060, device='cuda:0')"
41,"tensor(0.0707, device='cuda:0')","tensor(0.0053, device='cuda:0')","tensor(6.4305, device='cuda:0')","tensor(1.1148, device='cuda:0')","tensor(0.0280, device='cuda:0')","tensor(0.9719, device='cuda:0')","tensor(1.0000, device='cuda:0')","tensor(0.3519, device='cuda:0')","tensor(0.6016, device='cuda:0')","tensor(0.0269, device='cuda:0')"
42,"tensor(0.0759, device='cuda:0')","tensor(0.0036, device='cuda:0')","tensor(6.8576, device='cuda:0')","tensor(0.7543, device='cuda:0')","tensor(0.0183, device='cuda:0')","tensor(1.4200, device='cuda:0')","tensor(0.9997, device='cuda:0')","tensor(0.5195, device='cuda:0')","tensor(0.5769, device='cuda:0')","tensor(0.0176, device='cuda:0')"
43,"tensor(0.0610, device='cuda:0')","tensor(0.0040, device='cuda:0')","tensor(11.4761, device='cuda:0')","tensor(0.9990, device='cuda:0')","tensor(0.1817, device='cuda:0')","tensor(1.3422, device='cuda:0')","tensor(0.8931, device='cuda:0')","tensor(0.3881, device='cuda:0')","tensor(0.4559, device='cuda:0')","tensor(0.0011, device='cuda:0')"
44,"tensor(0.0709, device='cuda:0')","tensor(0.0044, device='cuda:0')","tensor(10.2123, device='cuda:0')","tensor(0.9586, device='cuda:0')","tensor(0.0010, device='cuda:0')","tensor(1.1355, device='cuda:0')","tensor(0.9993, device='cuda:0')","tensor(0.4043, device='cuda:0')","tensor(0.5846, device='cuda:0')","tensor(0.0003, device='cuda:0')"
45,"tensor(0.0698, device='cuda:0')","tensor(0.0041, device='cuda:0')","tensor(7.3298, device='cuda:0')","tensor(0.8701, device='cuda:0')","tensor(0.0131, device='cuda:0')","tensor(1.2887, device='cuda:0')","tensor(0.9951, device='cuda:0')","tensor(0.4405, device='cuda:0')","tensor(0.5620, device='cuda:0')","tensor(0.0080, device='cuda:0')"
46,"tensor(0.0663, device='cuda:0')","tensor(0.0046, device='cuda:0')","tensor(8.9371, device='cuda:0')","tensor(0.8941, device='cuda:0')","tensor(0.1507, device='cuda:0')","tensor(1.2381, device='cuda:0')","tensor(0.9825, device='cuda:0')","tensor(0.4333, device='cuda:0')","tensor(0.5637, device='cuda:0')","tensor(0.0823, device='cuda:0')"
